course_no,course_name,dept_code,dept_name,completion_type_code,completion_type,first_year,first_term,latest_year,latest_term,section_count
ACC2056,회계학,H0002867,정보시스템학과,727,전공기초(필수),2024,2,2026,2,3
ACC3001,원가회계,H0002894,경영학부,721,전공핵심,2024,1,2026,1,39
ACC3001,원가회계,H0002894,경영학부,722,전공심화,2025,1,2026,1,2
ACC3002,회계감사,H0002894,경영학부,722,전공심화,2024,1,2026,1,11
ACC3003,관리회계,H0002894,경영학부,722,전공심화,2024,2,2026,2,21
ACC4001,고급회계,H0002894,경영학부,722,전공심화,2024,2,2026,2,11
AIX0002,AI+X:인공지능,H0002256,서울 대학,711,핵심교양,2024,1,2026,2,35
AIX0003,AI+X:딥러닝,H0002256,서울 대학,711,핵심교양,2024,1,2026,2,30
AIX0004,AI+X:R-Py컴퓨팅,H0002256,서울 대학,711,핵심교양,2024,1,2026,2,30
AIX0005,AI+X:머신러닝,H0002256,서울 대학,711,핵심교양,2024,1,2026,2,30
AIX0006,AI와법,H0002256,서울 대학,711,핵심교양,2024,2,2026,2,3
AIX0007,인공지능의철학,H0002256,서울 대학,711,핵심교양,2024,1,2026,2,8
AIX0007,인공지능의철학,H0002256,서울 대학,721,전공핵심,2025,2,2025,2,1
AIX0007,인공지능의철학,H0004157,미래인문학융합전공,721,전공핵심,2026,2,2026,2,3
AIX0009,AI와암호화폐이야기,H0002256,서울 대학,711,핵심교양,2024,1,2024,1,1
APA1001,기초디자인1,H0002722,응용미술교육과,727,전공기초(필수),2024,1,2026,1,3
APA1011,기초회화,H0002722,응용미술교육과,727,전공기초(필수),2024,1,2026,1,3
APA1012,미술교육학원론1,H0002722,응용미술교육과,727,전공기초(필수),2024,2,2026,2,3
APA1015,드로잉,H0002722,응용미술교육과,727,전공기초(필수),2024,2,2026,2,3
APA2021,가상공간연구,H0002722,응용미술교육과,721,전공핵심,2024,2,2026,2,3
APA2030,문화예술콘텐츠,H0002722,응용미술교육과,722,전공심화,2024,2,2026,2,3
APA2031,서양미술사2,H0002722,응용미술교육과,721,전공핵심,2024,2,2026,2,3
APA2034,2D컴퓨터그래픽,H0002722,응용미술교육과,727,전공기초(필수),2024,2,2026,2,3
APA2036,경험디자인,H0002722,응용미술교육과,727,전공기초(필수),2025,1,2026,1,2
APA2054,데이터구조,H0002867,정보시스템학과,727,전공기초(필수),2024,2,2026,1,3
APA2058,미술교육학원론2,H0002722,응용미술교육과,727,전공기초(필수),2024,1,2026,1,3
APA2060,캡스톤디자인미술교육,H0002722,응용미술교육과,722,전공심화,2024,1,2026,1,3
APA2090,글로벌디자인실습,H0002722,응용미술교육과,721,전공핵심,2024,2,2026,2,2
APA2091,인터렉티브디자인,H0002722,응용미술교육과,727,전공기초(필수),2024,1,2024,1,1
APA2092,전시디자인,H0002722,응용미술교육과,721,전공핵심,2024,2,2026,2,2
APA3005,시각디자인1,H0002722,응용미술교육과,727,전공기초(필수),2024,1,2026,1,3
APA3006,시각디자인2,H0002722,응용미술교육과,721,전공핵심,2024,2,2026,2,3
APA3020,미술과교육론,H0002722,응용미술교육과,721,전공핵심,2024,1,2026,1,3
APA3021,미술과교재연구,H0002722,응용미술교육과,721,전공핵심,2024,2,2026,2,3
APA3038,3D컴퓨터그래픽,H0002722,응용미술교육과,721,전공핵심,2024,1,2026,1,3
APA3039,동양미술사,H0002722,응용미술교육과,722,전공심화,2024,1,2026,1,3
APA3063,캡스톤디자인뉴미디어,H0002722,응용미술교육과,721,전공핵심,2024,1,2026,1,3
APA3064,미디어인터렉션디자인,H0002722,응용미술교육과,722,전공심화,2024,1,2026,1,3
APA3065,디자인스튜디오,H0002722,응용미술교육과,727,전공기초(필수),2024,2,2026,2,3
APA3114,소셜디자인,H0002722,응용미술교육과,721,전공핵심,2024,2,2026,2,3
APA4010,기구학,H0002540,기계공학부,722,전공심화,2024,2,2026,2,14
APA4011,실내디자인,H0002886,건축학부,722,전공심화,2024,1,2026,1,3
APA4023,포트폴리오작품제작,H0002722,응용미술교육과,722,전공심화,2024,1,2026,1,3
APA4025,디자인포트폴리오실무,H0002722,응용미술교육과,721,전공핵심,2024,2,2026,2,2
APA4028,미술과논리및논술,H0002722,응용미술교육과,722,전공심화,2024,2,2026,2,3
APA4055,인공지능개론,H0002575,융합전자공학부,722,전공심화,2024,1,2026,1,14
APA4055,인공지능개론,H0004761,반도체공학과,722,전공심화,2026,1,2026,1,1
APA4057,도예실기,H0002722,응용미술교육과,721,전공핵심,2024,2,2026,2,6
APA4090,3D시뮬레이션,H0002722,응용미술교육과,722,전공심화,2025,1,2026,1,2
APA4091,캡스톤디자인산학협력,H0002722,응용미술교육과,721,전공핵심,2024,1,2026,1,2
