course_no,course_name,canonical_dept_code,canonical_dept_name,opening_dept,year_term_range,first_year,first_term,latest_year,latest_term,grade_row_count,term_count,department_count,pdf_path,parse_status
ACC2056,회계학,H0002867,정보시스템학과,정보시스템학과(학과/서울),2009/1 ~ 2028/2,2022,2,2025,2,18,4,1,outputs/pdfs_full/정보시스템학과__ACC2056__회계학.pdf,ok
ACC3001,원가회계,H0002894,경영학부,경영학부(학부/서울/경영),2006/1 ~ 2028/2,2022,1,2026,1,40,5,2,outputs/pdfs_full/경영학부__ACC3001__원가회계.pdf,ok
ACC3002,회계감사,H0002894,경영학부,경영학부(학부/서울/경영),1999/1 ~ 2029/2,2022,1,2026,1,20,5,2,outputs/pdfs_full/경영학부__ACC3002__회계감사.pdf,ok
ACC3003,관리회계,H0002894,경영학부,경영학부(학부/서울/경영),2006/1 ~ 2028/2,2022,2,2025,2,29,4,2,outputs/pdfs_full/경영학부__ACC3003__관리회계.pdf,ok
ACC3004,세무회계,H0002894,경영학부,경영학부(학부/서울/경영),1998/1 ~ 2022/2,2016,2,2020,2,30,5,2,outputs/pdfs_full/경영학부__ACC3004__세무회계.pdf,ok
ACC3005,조세법,H0003542,법학과,법학과(학부/서울),2003/1 ~ 2016/2,2010,2,2014,2,29,5,2,outputs/pdfs_full/법학과__ACC3005__조세법.pdf,ok
ACC4001,고급회계,H0002894,경영학부,경영학부(학부/서울/경영),1999/1 ~ 2029/2,2022,2,2025,2,25,4,2,outputs/pdfs_full/경영학부__ACC4001__고급회계.pdf,ok
AIX0001,인공지능과학자-딥러닝,H0002256,서울 대학,대학(학부/서울),2018/2 ~ 2027/2,2018,2,2018,2,1,1,1,outputs/pdfs_seoul_university/서울_대학__AIX0001__인공지능과학자-딥러닝.pdf,ok
AIX0002,AI+X:인공지능,H0004253,인문소프트웨어융합전공,인문소프트웨어융합전공,2020/1 ~ 2029/2,2024,2,2026,1,11,4,2,outputs/pdfs_full/인문소프트웨어융합전공__AIX0002__AI+X_인공지능.pdf,ok
AIX0003,AI+X:딥러닝,H0004253,인문소프트웨어융합전공,인문소프트웨어융합전공,2020/1 ~ 2029/2,2024,2,2026,1,31,4,2,outputs/pdfs_full/인문소프트웨어융합전공__AIX0003__AI+X_딥러닝.pdf,ok
AIX0004,AI+X:R-Py컴퓨팅,H0004253,인문소프트웨어융합전공,인문소프트웨어융합전공,2020/1 ~ 2029/2,2024,2,2026,1,31,4,2,outputs/pdfs_full/인문소프트웨어융합전공__AIX0004__AI+X_R-Py컴퓨팅.pdf,ok
AIX0005,AI+X:머신러닝,H0004253,인문소프트웨어융합전공,인문소프트웨어융합전공,2020/1 ~ 2029/2,2024,2,2026,1,23,4,2,outputs/pdfs_full/인문소프트웨어융합전공__AIX0005__AI+X_머신러닝.pdf,ok
AIX0006,AI와법,H0004157,미래인문학융합전공,미래인문학융합전공,2021/2 ~ 2029/2,2022,2,2025,2,13,4,2,outputs/pdfs_full/미래인문학융합전공__AIX0006__AI와법.pdf,ok
AIX0007,인공지능의철학,H0004157,미래인문학융합전공,미래인문학융합전공,2021/2 ~ 2029/2,2024,2,2026,1,8,4,2,outputs/pdfs_full/미래인문학융합전공__AIX0007__인공지능의철학.pdf,ok
AIX0008,AI+X:데이터사이언티스트,H0004322,빅데이터융합전공,빅데이터융합전공,2018/2 ~ 2029/2,2021,2,2023,2,37,5,2,outputs/pdfs_full/빅데이터융합전공__AIX0008__AI+X_데이터사이언티스트.pdf,ok
AIX0009,AI와암호화폐이야기,H0002256,서울 대학,대학(학부/서울),2022/1 ~ 2025/2,2022,1,2024,1,33,5,1,outputs/pdfs_seoul_university/서울_대학__AIX0009__AI와암호화폐이야기.pdf,ok
