course_no,course_name,parse_status,grade_row_count,term_count,department_count,latest_year,latest_term,pdf_path,pdf_exists,issues
ACC2056,회계학,ok,18,4,1,2025,2,outputs/pdfs_full/정보시스템학과__ACC2056__회계학.pdf,yes,
ACC3001,원가회계,ok,40,5,2,2026,1,outputs/pdfs_full/경영학부__ACC3001__원가회계.pdf,yes,
ACC3002,회계감사,ok,20,5,2,2026,1,outputs/pdfs_full/경영학부__ACC3002__회계감사.pdf,yes,
ACC3003,관리회계,ok,29,4,2,2025,2,outputs/pdfs_full/경영학부__ACC3003__관리회계.pdf,yes,
ACC3004,세무회계,ok,30,5,2,2020,2,outputs/pdfs_full/경영학부__ACC3004__세무회계.pdf,yes,
ACC3005,조세법,ok,29,5,2,2014,2,outputs/pdfs_full/법학과__ACC3005__조세법.pdf,yes,
ACC4001,고급회계,ok,25,4,2,2025,2,outputs/pdfs_full/경영학부__ACC4001__고급회계.pdf,yes,
AIX0001,인공지능과학자-딥러닝,ok,1,1,1,2018,2,outputs/pdfs_seoul_university/서울_대학__AIX0001__인공지능과학자-딥러닝.pdf,yes,
AIX0002,AI+X:인공지능,ok,11,4,2,2026,1,outputs/pdfs_full/인문소프트웨어융합전공__AIX0002__AI+X_인공지능.pdf,yes,
AIX0003,AI+X:딥러닝,ok,31,4,2,2026,1,outputs/pdfs_full/인문소프트웨어융합전공__AIX0003__AI+X_딥러닝.pdf,yes,
AIX0004,AI+X:R-Py컴퓨팅,ok,31,4,2,2026,1,outputs/pdfs_full/인문소프트웨어융합전공__AIX0004__AI+X_R-Py컴퓨팅.pdf,yes,
AIX0005,AI+X:머신러닝,ok,23,4,2,2026,1,outputs/pdfs_full/인문소프트웨어융합전공__AIX0005__AI+X_머신러닝.pdf,yes,
AIX0006,AI와법,ok,13,4,2,2025,2,outputs/pdfs_full/미래인문학융합전공__AIX0006__AI와법.pdf,yes,
AIX0007,인공지능의철학,ok,8,4,2,2026,1,outputs/pdfs_full/미래인문학융합전공__AIX0007__인공지능의철학.pdf,yes,
AIX0008,AI+X:데이터사이언티스트,ok,37,5,2,2023,2,outputs/pdfs_full/빅데이터융합전공__AIX0008__AI+X_데이터사이언티스트.pdf,yes,
AIX0009,AI와암호화폐이야기,ok,33,5,1,2024,1,outputs/pdfs_seoul_university/서울_대학__AIX0009__AI와암호화폐이야기.pdf,yes,
APA1001,기초디자인1,ok,16,5,1,2026,1,outputs/pdfs_full/응용미술교육과__APA1001__기초디자인1.pdf,yes,
APA1002,기초디자인2,ok,8,5,1,2021,1,outputs/pdfs_full/응용미술교육과__APA1002__기초디자인2.pdf,yes,
APA1011,기초회화,ok,20,5,1,2026,1,outputs/pdfs_full/응용미술교육과__APA1011__기초회화.pdf,yes,
APA1012,미술교육학원론1,ok,10,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA1012__미술교육학원론1.pdf,yes,
APA1014,서양미술사1,ok,22,5,1,2016,1,outputs/pdfs_full/응용미술교육과__APA1014__서양미술사1.pdf,yes,
APA1015,드로잉,ok,15,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA1015__드로잉.pdf,yes,
APA1016,타이포그래피,ok,15,3,1,2015,2,outputs/pdfs_full/응용미술교육과__APA1016__타이포그래피.pdf,yes,
APA2021,가상공간연구,ok,10,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA2021__가상공간연구.pdf,yes,
APA2023,미술치료법,ok,17,5,1,2016,1,outputs/pdfs_full/응용미술교육과__APA2023__미술치료법.pdf,yes,
APA2024,영어프리젠테이션,ok,16,5,1,2016,1,outputs/pdfs_full/응용미술교육과__APA2024__영어프리젠테이션.pdf,yes,
APA2026,게임환경연구2,ok,14,5,1,2017,2,outputs/pdfs_full/응용미술교육과__APA2026__게임환경연구2.pdf,yes,
APA2030,문화예술콘텐츠,ok,11,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA2030__문화예술콘텐츠.pdf,yes,
APA2031,서양미술사2,ok,16,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA2031__서양미술사2.pdf,yes,
APA2032,섬유공예,ok,17,5,1,2016,1,outputs/pdfs_full/응용미술교육과__APA2032__섬유공예.pdf,yes,
APA2033,환경도자,ok,17,5,1,2017,2,outputs/pdfs_full/응용미술교육과__APA2033__환경도자.pdf,yes,
APA2034,2D컴퓨터그래픽,ok,12,4,1,2025,2,outputs/pdfs_full/응용미술교육과__APA2034__2D컴퓨터그래픽.pdf,yes,
