campus_code,dept_code,dept_name,course_no,course_name,year_term_range,opening_dept,parse_status
H0002256,H0002936,STS(과학기술학)전공,CHM1005,일반화학및실험1,2007/1 ~ 2020/2,STS(과학기술학)전공,ok
H0002256,H0002936,STS(과학기술학)전공,CLS1001,인문클래식:마음의이해,2019/1 ~ 2022/2,STS(과학기술학)전공,ok
H0002256,H0002936,STS(과학기술학)전공,CLS1004,과학클래식:과학기술의문화사,2018/1 ~ 2021/2,STS(과학기술학)전공,ok
H0002256,H0002936,STS(과학기술학)전공,CLS1016,과학클래식:화학의변명,2017/1 ~ 2020/2,STS(과학기술학)전공,ok
H0002256,H0002936,STS(과학기술학)전공,CLS1017,과학클래식:과학과종교,2018/1 ~ 2021/2,STS(과학기술학)전공,ok
H0002256,H0002936,STS(과학기술학)전공,COE3051,공업수학1,2007/1 ~ 2020/2,STS(과학기술학)전공,ok
H0002256,H0002936,STS(과학기술학)전공,CUL3011,일반물리학및실험1,2007/1 ~ 2020/2,STS(과학기술학)전공,ok
H0002256,H0002936,STS(과학기술학)전공,CUL3013,일반생물학및실험1,2007/1 ~ 2020/2,STS(과학기술학)전공,ok
H0002256,H0002936,STS(과학기술학)전공,CUL6031,세상으로걸어간과학기술자들,2018/1 ~ 2021/2,STS(과학기술학)전공,ok
H0002256,H0002936,STS(과학기술학)전공,CUL6037,과학기술학의새로운지평,2018/1 ~ 2021/2,STS(과학기술학)전공,ok
H0002256,H0002936,STS(과학기술학)전공,CUL7042,두문화의인간학,2018/1 ~ 2021/2,STS(과학기술학)전공,ok
H0002256,H0002936,STS(과학기술학)전공,CUL7043,기술시대의인간과윤리,2018/1 ~ 2021/2,STS(과학기술학)전공,ok
H0002256,H0002936,STS(과학기술학)전공,ENG3094,실험언어학,2015/1 ~ 2017/2,STS(과학기술학)전공,not_found
H0002256,H0002936,STS(과학기술학)전공,ENG4076,영미과학소설읽기,2008/1 ~ 2018/2,STS(과학기술학)전공,ok
