campus_code,dept_code,dept_name,course_no,course_name,year,term,year_term_range,opening_dept,A+,A,B+,B,C+,C,D+,D,F,P,S,U,A+_count,A_count,B+_count,B_count,C+_count,C_count,D+_count,D_count,F_count,P_count,S_count,U_count,parse_status,pdf_path,error,total_count
H0002256,H0002867,정보시스템학과,ACC2056,회계학,2025,2,2009/1 ~ 2028/2,정보시스템학과(학과/서울),30.3,1.52,42.42,,24.24,,,,,,1.52,,20,1,28,,16,,,,,,1,,ok,outputs/pdfs_full/정보시스템학과__ACC2056__회계학.pdf,,66
H0002256,H0002894,경영학부,ACC3001,원가회계,2026,1,2006/1 ~ 2028/2,경영학부(학부/서울/경영),20.83,27.08,14.58,12.5,11.46,4.17,3.13,,,,,,20,26,14,12,11,4,3,,,,,,ok,outputs/pdfs_full/경영학부__ACC3001__원가회계.pdf,,90
H0002256,H0002894,경영학부,ACC3002,회계감사,2026,1,1999/1 ~ 2029/2,경영학부(학부/서울/경영),39.08,1.15,40.23,,19.54,,,,,,,,34,1,35,,17,,,,,,,,ok,outputs/pdfs_full/경영학부__ACC3002__회계감사.pdf,,87
H0002256,H0002894,경영학부,ACC3003,관리회계,2025,2,2006/1 ~ 2028/2,경영학부(학부/서울/경영),36.71,2.53,36.71,,10.13,,,10.13,,,3.8,,29,2,29,,8,,,8,,,3,,ok,outputs/pdfs_full/경영학부__ACC3003__관리회계.pdf,,79
H0002256,H0002894,경영학부,ACC3004,세무회계,2020,2,1998/1 ~ 2022/2,경영학부(학부/서울/경영),19.67,13.11,24.59,16.39,16.39,,,9.84,,,,,12,8,15,10,10,,,6,,,,,ok,outputs/pdfs_full/경영학부__ACC3004__세무회계.pdf,,61
H0002256,H0003542,법학과,ACC3005,조세법,2014,2,2003/1 ~ 2016/2,법학과(학부/서울),17.24,17.24,24.14,31.03,10.34,,,,,,,,5,5,7,9,3,,,,,,,,ok,outputs/pdfs_full/법학과__ACC3005__조세법.pdf,,29
H0002256,H0002894,경영학부,ACC4001,고급회계,2025,2,1999/1 ~ 2029/2,경영학부(학부/서울/경영),28.13,12.5,25,15.63,9.38,9.38,,,,,,,9,4,8,5,3,3,,,,,,,ok,outputs/pdfs_full/경영학부__ACC4001__고급회계.pdf,,32
H0002256,H0002256,서울 대학,AIX0001,인공지능과학자-딥러닝,2018,2,2018/2 ~ 2027/2,대학(학부/서울),100,,,,,,,,,,,,5,,,,,,,,,,,,ok,outputs/pdfs_seoul_university/서울_대학__AIX0001__인공지능과학자-딥러닝.pdf,,5
H0002256,H0004253,인문소프트웨어융합전공,AIX0002,AI+X:인공지능,2026,1,2020/1 ~ 2029/2,인문소프트웨어융합전공,98.27,0.58,1.16,,,,,,,,,,340,2,4,,,,,,,,,,ok,outputs/pdfs_full/인문소프트웨어융합전공__AIX0002__AI+X_인공지능.pdf,,346
H0002256,H0004253,인문소프트웨어융합전공,AIX0003,AI+X:딥러닝,2026,1,2020/1 ~ 2029/2,인문소프트웨어융합전공,11.45,25.95,24.43,12.21,10.69,4.58,6.11,4.58,,,,,15,34,32,16,14,6,8,6,,,,,ok,outputs/pdfs_full/인문소프트웨어융합전공__AIX0003__AI+X_딥러닝.pdf,,131
