severity,issue_type,course_no,course_name,year,term,detail
warning,course_without_grade_data,APS1010,산업융합수학,,,parse_status=not_found
warning,course_without_grade_data,APS2010,사회기술시스템,,,parse_status=not_found
warning,course_without_grade_data,APS2011,마케팅원리,,,parse_status=not_found
warning,course_without_grade_data,APS3004,데이터마이닝1,,,parse_status=not_found
warning,course_without_grade_data,APS3008,생산운영관리2,,,parse_status=not_found
warning,course_without_grade_data,APS3009,인간중심디자인,,,parse_status=not_found
warning,course_without_grade_data,APS3010,데이터마이닝2,,,parse_status=not_found
warning,course_without_grade_data,APS3022,지속가능경영시스템,,,parse_status=not_found
warning,course_without_grade_data,APS3023,기술금융,,,parse_status=not_found
warning,course_without_grade_data,APS4001,실험및시험방법론,,,parse_status=not_found
warning,course_without_grade_data,APS4002,공급망관리,,,parse_status=not_found
warning,course_without_grade_data,APS4003,ERP실무,,,parse_status=not_found
warning,course_without_grade_data,APS4004,컴퓨터통합제조,,,parse_status=not_found
warning,course_without_grade_data,APS4005,산업융합세미나,,,parse_status=not_found
warning,course_without_grade_data,APS4007,실험및시험방법론2,,,parse_status=not_found
warning,course_without_grade_data,APS4008,프로젝트관리론,,,parse_status=not_found
warning,course_without_grade_data,APS4011,응용시스템세미나2,,,parse_status=not_found
warning,course_without_grade_data,APS4012,경영공학종합설계,,,parse_status=not_found
warning,course_without_grade_data,APS4013,의사결정론,,,parse_status=not_found
warning,course_without_grade_data,APS4014,경영시뮬레이션,,,parse_status=not_found
warning,course_without_grade_data,APS4015,제조혁신,,,parse_status=not_found
warning,course_without_grade_data,APS4017,하이브리드프로토타이핑,,,parse_status=not_found
warning,course_without_grade_data,APS4019,글로벌혁신시스템,,,parse_status=not_found
warning,course_without_grade_data,APS4021,산업문제해결컨설팅,,,parse_status=not_found
warning,course_without_grade_data,ARE3088,건축융합설계,,,parse_status=not_found
warning,course_without_grade_data,ARE4020,건축공학실험,,,parse_status=not_found
warning,course_without_grade_data,ARE4108,건축공학종합설계,,,parse_status=not_found
warning,course_without_grade_data,ATC0008,아두이노아트캡스톤디자인,,,parse_status=not_found
warning,course_without_grade_data,BAT4001,에너지저장변환기술,,,parse_status=not_found
warning,course_without_grade_data,BAT4002,이차전지공정개론,,,parse_status=not_found
warning,course_without_grade_data,BAT4003,이차전지설계개론,,,parse_status=not_found
warning,course_without_grade_data,BIG3004,빅데이터융합세미나,,,parse_status=not_found
